거래번호,항목1,항목2,항목3,항목4,항목5,항목6,항목7,항목8,항목9
10854,소고기,야채,사워 크림,음료수,크림 치즈,와플,그릇,,
10855,치킨,열대과일,과일,야채,포장 채소,버터,롤빵,마가린,
10856,딸기,전지우유,사워 크림,마가린,유기농 제품,야채 주스,쇼핑백,,
10859,소고기,야채,병맥주,초콜릿,쇼핑백,,,,
10860,치킨,돼지고기,전지우유,사워 크림,우유,계란,롤빵,생수,
10862,소고기,열대과일,야채,허브,전지우유,요거트,치즈,롤빵,
10867,생수,소다,껌,냅킨,,,,,
10868,소시지,치킨,감귤,딸기,야채,음료수,연마제,,
10869,전지우유,우유,계란,소다,야채 주스,그릇,신문,,
10872,야채,전지우유,식빵,강아지 사료,브랜디,쇼핑백,,
10874,소시지,햄,감귤,열대과일,딸기,포장 채소,전지우유,사워 크림,치즈
10875,소고기,야채,전지우유,크림 치즈,,,,,
10882,버터우유,요거트,치즈,커피,,,,,
10884,돼지고기,딸기,사워 크림,음료수,밀가루,기름,소다,초콜릿,신문
10886,포도,전지우유,치즈,롤빵,식빵,야채 주스,,,
10888,야채,양파,요거트,롤빵,커피,생수,그릇,,
10893,전지우유,냉동 식품,롤빵,식빵,냅킨,,,,
10894,치킨,돼지고기,전지우유,냉동 야채,식빵,식초,병맥주,와인,신문
10899,소시지,포도,롤빵,소다,간식,,,,
10903,전지우유,치즈,계란,감미료,생수,소다,쇼핑백,,
10905,열대과일,전지우유,요거트,치즈,치즈,치즈,치즈,냉동 야채,
10908,햄,감귤,전지우유,디저트,냉동 식품,커피,팝콘,쇼핑백,
10910,전지우유,크림 치즈,밀가루,커피,생수,음료수,신문,,
10914,생수,소다,야채 주스,병맥주,냅킨,,,,
10916,열대과일,야채,냉동 야채,아이스크림,생수,,,,
10917,햄,소고기,포도,요거트,사워 크림,계란,식빵,패스트리,생수
10918,돼지고기,감귤,우유,식빵,소다,병맥주,캔맥주,,
10919,음료수,롤빵,소다,음료수,소주,케이크,,,
10921,소시지,감귤,전지우유,요거트,롤빵,생수,소다,냅킨,
10922,야채,전지우유,버터,요거트,크림 치즈,생선,쇼핑백,,
10928,딸기,전지우유,사워 크림,절인 야채,세정제,신문,,,
10932,딸기,야채,전지우유,음료수,설탕,수프,커피,쇼핑백,
10937,소고기,포도,딸기,전지우유,요거트,롤빵,신문,화초,
10938,롤빵,커피,커피,간식,초콜릿,,,,
10943,전지우유,패스트리,세정제,양초,,,,,
10948,돼지고기,열대과일,포도,치즈,소다,냅킨,쇼핑백,,
10949,열대과일,포도,딸기,전지우유,버터,디저트,요거트,사워 크림,
10950,치킨,돼지고기,감귤,사워 크림,식빵,껌,화초,,
10957,사워 크림,계란,밀가루,음료수,신문,,,,
10959,양파,전지우유,디저트,계란,롤빵,식빵,커피,생수,
10962,열대과일,야채,계란,식빵,야채 통조림,소다,야채 주스,
10970,열대과일,패스트리,캔맥주,초콜릿,,,,,
10971,감귤,야채,포장 채소,요거트,치즈,롤빵,식빵,지퍼백
10972,우유,소금,소다,초콜릿,쇼핑백,,,,
10974,요거트,치즈,설탕,야채 통조림,,,,,
10975,감귤,전지우유,디저트,요거트,냉동 야채,야채 주스,병맥주,간식,
10976,요거트,식빵,병맥주,백포도주,,,,,
10980,소시지,감귤,딸기,전지우유,요거트,사워 크림,크림 치즈,냉동 야채,
10984,과일,야채,디저트,요거트,계란,쇼핑백,,,
10988,포장 채소,디저트,마요네즈,기름,소다,와플,초콜릿,,쇼핑백
10989,치킨,사워 크림,냉동 야채,생수,,,,,
10990,돼지고기,전지우유,요거트,사워 크림,크림 치즈,계란,식빵,설탕,
10991,감귤,전지우유,요거트,사워 크림,크림 치즈,패스트리,식초,,
10994,소시지,냉동 식품,계란,케이크,세정제,청소기,,,
10997,치킨,열대과일,과일,야채,전지우유,버터,요거트,사워 크림,
10999,돼지고기,소고기,아이스크림,롤빵,신문,,,,
11000,돼지고기,열대과일,요거트,밀가루,마가린,감미료,유기농 제품,,
11002,열대과일,과일,포도,야채,허브,요거트,베이킹 파우더,화초,
11003,사워 크림,크림 치즈,생수,캔맥주,쇼핑백,,,,
11004,딸기,야채,버터,치즈,계란,롤빵,야채 주스,포도주,
11005,딸기,디저트,사워 크림,식빵,커피,쇼핑백,,,
11009,전지우유,버터,파스타,음료수,,,,,
11011,감귤,딸기,버터우유,요거트,,,,,
11012,소고기,포도,견과류,야채,양파,크림,치즈,치즈,
11013,돼지고기,감귤,포도,야채,전지우유,스프,화초,,
11014,햄,열대과일,과일,야채,버터우유,요거트,치즈,,
11017,소고기,열대과일,양파,전지우유,버터,버터우유,요거트,,
11019,과일,전지우유,계란,생수,,,,,
11025,포도,지퍼백,소다,와플,,,,,
11027,야채,크림 치즈,파스타,기름,마가린,간식,화초,,
11030,소고기,생수,음료수,초콜릿,쇼핑백,,,,
11031,돼지고기,전지우유,롤빵,병맥주,,,,,
11032,캔맥주,초콜릿,사탕,쇼핑백,,,,,
11034,요거트,사워 크림,밀가루,마가린,설탕,베이킹 파우더,고양이 사료,소다,야채 주스
11035,과일,디저트,요거트,초콜릿,신문,쇼핑백,,,
11036,소고기,치킨,야채,전지우유,기름,,,,
11040,소시지,전지우유,사워 크림,파스타,야채 주스,,,,
11042,돼지고기,허브,요거트,계란,그릇,,,,
11045,야채,치즈,마가린,캔맥주,,,,,
11046,소시지,열대과일,포도,치즈,냉동 식품,계란,식빵,간식,
11047,소시지,감귤,과일,야채,전지우유,요거트,사워 크림,치즈,
11050,열대과일,전지우유,식빵,음료수,병맥주,,,
11051,포도,요거트,우유,치즈,롤빵,야채 주스,사탕,신문,
11058,돼지고기,아이스크림,소다,케이크,,,,,
11059,전지우유,롤빵,지퍼백,병맥주,,,,,
11068,소시지,포도,버터,요거트,사워 크림,음료수,우유,치즈,
11069,감귤,식빵,소주,쇼핑백,,,,,
11070,햄,버터,요거트,치즈,아이스크림,계란,음료수,야채 주스,
11073,소고기,열대과일,과일,포도,야채,치즈,롤빵,식빵,패스트리
11074,전지우유,요거트,치즈,시리얼,병맥주,,,,
11077,소시지,전지우유,치즈,식빵,베이킹 파우더,절인 야채,소주,,
11078,생수,소다,야채 주스,껌,사탕,,,,
11082,치킨,소고기,전지우유,식빵,패스트리,소스,절인 야채,생수,
11084,치킨,감귤,야채,전지우유,요거트,치즈,치즈,마요네즈,
11085,치킨,열대과일,전지우유,농축 우유,치즈,치즈,계란,식빵,패스트리
11086,버터,롤빵,패스트리,생수,캔맥주,와플,,,
11087,감귤,야채,디저트,요거트,우유,식빵,,,
11090,소고기,감귤,전지우유,계란,롤빵,식빵,커피,소다,
11092,소시지,열대과일,과일,버터,디저트,버터우유,,,
11093,감귤,전지우유,버터,디저트,우유,,쇼핑백,,
11098,우유,식초,와플,초콜릿,,,,,
11099,우유,계란,식빵,커피,소다,캔맥주,소주,신문,
11101,감귤,버터,우유,마가린,병맥주,,,,
11105,햄,전지우유,치즈,식빵,생수,소다,야채 주스,팝콘,
11106,햄,치킨,감귤,과일,허브,버터,냅킨,,
11109,열대과일,과일,크림 치즈,소다,병맥주,,,,
11113,소시지,야채,롤빵,생수,백포도주,,,,
11114,요거트,치즈,냉동 야채,냉동 식품,절인 야채,커피,커피,,
11115,소고기,전지우유,요거트,치즈,치즈,계란,마가린,고양이 사료,
11120,전지우유,소다,음료수,쇼핑백,,,,,
11122,감귤,열대과일,과일,포도,야채,전지우유,디저트,,
11123,감귤,버터,소다,병맥주,캔맥주,와플,초콜릿,,
11124,소고기,포장 채소,크림 치즈,마가린,생수,간식,,,
11126,야채,사워 크림,소금,야채 주스,간식,,,,
11127,열대과일,전지우유,사워 크림,병맥주,,,,,
11128,식빵,기름,설탕,소다,병맥주,,,,
11130,포도,식빵,병맥주,백포도주,,,,,
11131,햄,열대과일,크림 치즈,치즈,식빵,사탕,,,
11133,아이스크림,음료수,캔맥주,냅킨,쇼핑백,,,,
11134,열대과일,생수,병맥주,냅킨,,,,,
11142,디저트,요거트,우유,소다,캔맥주,전구,,,
11144,소시지,감귤,과일,요거트,음료수,치즈,설탕,생수,소다
11145,소고기,감귤,야채,사워 크림,간식,,,,
11146,소시지,요거트,패스트리,마가린,소다,병맥주,,,
11148,소고기,감귤,양파,허브,전지우유,요거트,사워 크림,치즈,
11149,과일,버터,요거트,사워 크림,식빵,패스트리,야채 주스,세정제,
11152,감귤,포도,생수,와플,,,,,
11154,돼지고기,냉동 식품,생선,쇼핑백,,,,,
11156,햄,포도,치즈,아이스크림,냉동 감자,식빵,기름,,
11157,포도,치즈,파스타,커피,생수,소다,캔맥주,브랜디,백포도주
11159,감귤,생수,와인,사진 필름,,,,,
11165,야채,치즈,소다,병맥주,,,,,
11167,햄,전지우유,우유,야채 주스,,,,,
11168,열대과일,소다,사탕,쇼핑백,,,,,
11169,소시지,파스타,기름,마가린,커피,시럽,캔맥주,냅킨,
11170,소시지,소고기,식빵,생선 통조림,생수,캔맥주,소주,쇼핑백,
11171,돼지고기,열대과일,디저트,요거트,밀가루,쌀,커피,,
11172,소시지,감귤,과일,마요네즈,식빵,쇼핑백,,,
11174,포도,패스트리,간식,전구,쇼핑백,,,,
11175,요거트,치즈,케첩,생수,남성 화장품,,,,
11180,생수,소다,껌,초콜릿,사탕,,,,
11183,소고기,버터우유,요거트,사워 크림,크림 치즈,식빵,야채 주스,병맥주,
11185,소고기,야채,버터,요거트,롤빵,밀가루,,,
11187,딸기,야채,사워 크림,병맥주,,,,,
11189,치킨,돼지고기,소고기,전지우유,사워 크림,,,,
11190,소시지,감귤,전지우유,크림 치즈,치즈,냉동 야채,롤빵,패스트리,야채 주스
11198,감귤,야채,전지우유,요거트,사워 크림,치즈,크림 치즈,,
11199,감귤,열대과일,포도,전지우유,식빵,패스트리,,,
11201,열대과일,사워 크림,우유,냉동 야채,기름,마가린,야채 주스,주방 수건,
11204,햄,롤빵,병맥주,껌,,,,,
11206,소시지,전지우유,버터우유,사워 크림,,,,,
11207,돼지고기,전지우유,마가린,소다,캔맥주,신문,,,
11208,감귤,요거트,사워 크림,소다,,,,,
11209,열대과일,전지우유,계란,패스트리,,,,,
11211,돼지고기,전지우유,설탕,소다,초콜릿,,,,
11212,치킨,돼지고기,과일,전지우유,생선,롤빵,마가린,,
11213,야채,전지우유,요거트,롤빵,화초,,,,
11214,감귤,케이크,아기 화장품,쇼핑백,,,,,
11216,소고기,열대과일,전지우유,아이스크림,고양이 사료,,,,
11222,돼지고기,야채,설탕,베이킹 파우더,고양이 사료,간식,와플,,
11223,농축 우유,생수,음료수,병맥주,욕실 청소용품,,,,
11224,치킨,병맥주,와인,신문,,,,,
11225,소시지,소고기,버터,계란,고양이 사료,,,,
11227,치킨,돼지고기,포도,계란,롤빵,패스트리,소다,,
11228,전지우유,사워 크림,마가린,시리얼,소다,간식,,,
11229,돼지고기,소고기,감귤,딸기,야채,전지우유,요거트,크림 치즈,
11230,야채,전지우유,요거트,냉동 감자,,,,,
11235,롤빵,생수,야채 주스,캔맥주,위스키,쇼핑백,,,
11237,소시지,소고기,돼지고기,전지우유,버터,사워 크림,냉동 야채,냉동 디저트,빵
11238,소시지,마요네즈,롤빵,캔맥주,쇼핑백,,,,
11239,열대과일,치즈,계란,지퍼백,,,,,
11244,치킨,열대과일,과일,야채,허브,디저트,요거트,사워 크림,
11245,열대과일,과일,전지우유,냅킨,그릇,,,,
11247,감귤,포도,롤빵,패스트리,커피,소다,,,
11249,치킨,딸기,마요네즈,냉동 야채,간식,신문,,,
11253,소시지,열대과일,전지우유,요거트,치즈,패스트리,마가린,인스턴트 식품,커피
11256,소시지,야채,전지우유,버터,사워 크림,치즈,설탕,베이킹 파우더,
11261,감귤,열대과일,전지우유,커피,,,,,
11268,돼지고기,야채,전지우유,사워 크림,롤빵,식빵,야채 통조림,소다,
11273,소고기,계란,롤빵,밀가루,사탕,,,,
11274,디저트,우유,생수,소다,캔맥주,껌,쇼핑백,,
11275,돼지고기,감귤,계란,마가린,캔맥주,,,,
11276,사워 크림,밀가루,베이킹 파우더,신문,,,,,
11282,돼지고기,야채,양파,전지우유,냅킨,쇼핑백,,,
11284,돼지고기,감귤,야채,전지우유,버터,소다,그릇,신문,
11285,돼지고기,열대과일,야채,양파,전지우유,버터,사워 크림,치즈,
11287,야채,롤빵,마가린,소다,병맥주,,,,
11288,사워 크림,음료수,야채 주스,초콜릿,,,,,
11291,돼지고기,소고기,전지우유,롤빵,패스트리,,,,
11294,감귤,전지우유,요거트,치즈,치즈,롤빵,밀가루,고양이 사료,
11295,감귤,요거트,식빵,파스타,,,,,
11296,소다,초콜릿,초콜릿,신문,쇼핑백,,,,
11299,치킨,사워 크림,커피,쇼핑백,,,,,
11301,소시지,소고기,치킨,야채,전지우유,소금,간식,,
11302,소고기,딸기,식빵,쇼핑백,,,,,
11303,햄,전지우유,치즈,냉동 식품,롤빵,쌀,수프,베이킹 파우더,야채 통조림
11304,치킨,돼지고기,야채,양파,포장 채소,버터,치즈,소금,생수
11305,허브,전지우유,버터,식빵,마가린,음료수,쇼핑백,,
11307,열대과일,과일,전지우유,껌,초콜릿,,,,
11309,양파,롤빵,소금,초콜릿,쇼핑백,,,,
11311,감귤,치즈,롤빵,패스트리,캔맥주,신문,,,
11319,과일,야채,전지우유,껌,주방 수건,,,,
11324,소고기,소고기,열대과일,과일,딸기,전지우유,식빵,
11325,전지우유,생선 통조림,소다,병맥주,양초,,,,
11331,전지우유,요거트,냉동 식품,설탕,커피,생수,야채 주스,병맥주,간식
11332,감귤,과일,포도,디저트,버터우유,요거트,계란,밀가루,
11335,전지우유,음료수,패스트리,소다,,,,,
11338,야채,전지우유,버터,요거트,사워 크림,치즈,크림 치즈,계란,빵
11339,딸기,버터우유,요거트,소다,신문,,,,
11341,소시지,과일,야채,병맥주,연마제,전구,,,
11343,치킨,야채,식초,쇼핑백,,,,,
11345,소시지,치즈,롤빵,야채 통조림,강아지 사료,,,,
11348,야채,양파,전지우유,생수,그릇,,,,
11352,소시지,햄,소고기,치킨,열대과일,전지우유,버터,요거트,
11354,햄,열대과일,포도,양파,요거트,사워 크림,치즈,치즈,
11356,감귤,냉동 식품,캔맥주,와인,간식,,,,
11360,지퍼백,기름,머스타드,초콜릿,,,,,
11361,치킨,전지우유,계란,패스트리,캔맥주,,,,
11363,햄,디저트,냉동 식품,냉동 디저트,식빵,소다,,,
11364,전지우유,버터우유,소다,껌,쇼핑백,,,,
11366,햄,허브,요거트,크림 치즈,전구,,,,
11369,치킨,열대과일,사탕,쇼핑백,,,,,
11375,소시지,소고기,포도,요거트,치즈,계란,롤빵,마가린,
11381,요거트,패스트리,소다,쇼핑백,,,,,
11382,감귤,전지우유,치즈,캔맥주,,,,,
11384,야채,버터,냉동 야채,간식,,,,,
11386,열대과일,포장 채소,전지우유,냉동 식품,식빵,커피,소다,여성용 위생용품,
11389,요거트,롤빵,패스트리,소다,,,,,
11391,감귤,과일,포도,딸기,치즈,롤빵,기름,쇼핑백,
11392,소고기,야채,전지우유,버터우유,요거트,음료수,크림 치즈,소다,
11393,감귤,양파,전지우유,크림 치즈,계란,설탕,생수,병맥주,
11397,소시지,계란,커피,소다,,,,,
11399,강아지 사료,소다,야채 주스,병맥주,,,,,
11400,포장 채소,전지우유,패스트리,생수,소다,음료수,껌,,
11402,소고기,열대과일,치즈,롤빵,와플,초콜릿,초콜릿,헤어 스프레이,
11406,소시지,치즈,롤빵,커피,소다,쇼핑백,,,
11410,전지우유,생수,소다,캔맥주,,,,,
11414,음료수,초콜릿,사탕,쇼핑백,,,,,
11418,돼지고기,소고기,요거트,쇼핑백,,,,,
11419,포도,버터,계란,소금,설탕,베이킹 파우더,,,
11421,소시지,햄,감귤,포도,딸기,버터우유,냉동 식품,계란,고양이 사료
11429,돼지고기,우유,롤빵,마가린,,,,,
11432,과일,야채,전지우유,롤빵,패스트리,커피,초콜릿,,
11435,아이스크림,소다,병맥주,초콜릿,,,,,
11436,소시지,전지우유,식빵,소다,,,,,
11439,열대과일,과일,포도,아이스크림,냉동 감자,롤빵,패스트리,소다,음료수
11443,포도,야채,전지우유,버터,사워 크림,농축 우유,기름,생수,
11444,열대과일,과일,포도,전지우유,사워 크림,냉동 야채,베이킹 파우더,,
11445,소고기,야채,소다,병맥주,,,,,
11446,야채,전지우유,버터,계란,밀가루,기름,설탕,베이킹 파우더,백포도주
11447,돼지고기,식빵,생수,야채 주스,,,,,
11450,허브,식초,캔맥주,신문,,,,,
11453,패스트리,설탕,병맥주,쇼핑백,,,,,
11456,크림 치즈,파스타,잼,커피,소다,초콜릿,,,
11460,소시지,전지우유,식빵,패스트리,,,,,
11461,치즈,롤빵,소다,쇼핑백,,,,,
11464,감귤,열대과일,딸기,요거트,크림 치즈,식빵,소고기,,
11466,요거트,음료수,롤빵,야채 주스,화초,,,,
11469,감귤,전지우유,버터,냉동 야채,롤빵,식빵,야채 주스,청소기,
11472,감귤,전지우유,버터우유,사워 크림,,,,,
11474,전지우유,수프,생수,병맥주,,,,,
11478,커피,소다,병맥주,소주,욕실 청소용품,,,,
11481,감귤,열대과일,전지우유,롤빵,생수,신문,,,
11493,열대과일,야채,전지우유,요거트,사워 크림,계란,롤빵,마가린,생수
11496,소시지,농축 우유,롤빵,커피,,,,,
11500,롤빵,소다,와플,쇼핑백,,,,,
11501,전지우유,음료수,생수,신문,,,,,
11507,버터우유,우유,식빵,생수,,,,,
11508,치킨,전지우유,우유,롤빵,신문,,,,
11509,소고기,전지우유,냉동 감자,마가린,소다,세정제,,,
11511,버터,요거트,롤빵,잼,소다,,,,
11512,소시지,생선,식빵,쇼핑백,,,,,
11517,햄,감귤,열대과일,포도,야채,양파,롤빵,식빵,
11518,양파,버터,기름,냅킨,신문,,,,
11519,전지우유,아이스크림,인스턴트 식품,생선 통조림,신문,,,,
11520,요거트,냉동 야채,생수,피부관리용품,신문,,,,
11523,감귤,전지우유,계란,과일 통조림,강아지 사료,음료수,세정제,,
11525,소시지,버터우유,롤빵,소다,,,,,
11526,버터,패스트리,냅킨,그릇,,,,,
11534,소고기,양파,껌,그릇,,,,,
11536,소고기,과일,포장 채소,전지우유,패스트리,마가린,,,
11538,치킨,전지우유,롤빵,밀가루,소금,식초,설탕,,
11540,과일,요거트,치즈,,,,,,
11541,야채,전지우유,롤빵,생수,그릇,신문,,,
11544,사워 크림,농축 우유,소금,,,,,,
11545,패스트리,쇼핑백,,,,,,,
11546,소시지,과일,사워 크림,세정제,,,,,
11547,치즈,와인,신문,,,,,,
11549,소고기,전지우유,사워 크림,기름,절인 야채,냅킨,,,
11551,소시지,야채,전지우유,디저트,과일 통조림,소다,과자,와플,
11552,과일,야채,전지우유,아이스크림,병맥주,세정제,,,
11554,감귤,열대과일,커피,,,,,,
11555,요거트,사워 크림,소다,병맥주,간식,,,,
11558,소고기,요거트,음료수,롤빵,밀가루,마가린,고양이 사료,생수,
11560,요거트,마가린,설탕,생수,병맥주,와인,,,
11564,열대과일,생수,껌,,,,,,
11565,감귤,허브,버터,계란,기름,생수,병맥주,,
11566,전지우유,요거트,사워 크림,치즈,사탕,,,,
11567,감귤,열대과일,야채,요거트,마가린,설탕,생수,냅킨,
11570,소시지,크림,크림 치즈,캔맥주,,,,,
11573,허브,기름,강아지 사료,,,,,,
11574,소시지,생선,우유,,,,,,
11575,요거트,초콜릿,,,,,,,
11577,머스타드,캔맥주,,,,,,,
11580,치즈,롤빵,패스트리,절인 야채,야채 주스,,,,
11582,돼지고기,생선 통조림,고양이 사료,,,,,,
11586,요거트,쇼핑백,,,,,,,
11587,냉동 야채,커피,,,,,,,
11588,롤빵,캔맥주,쇼핑백,,,,,,
11589,패스트리,소다,,,,,,,
11590,돼지고기,소고기,감귤,야채,전지우유,롤빵,밀가루,파스타,
11591,생수,사진 필름,,,,,,,
11592,소고기,감귤,야채,버터,요거트,사워 크림,냉동 식품,파스타,기름
11593,요거트,생수,남성 화장품,,,,,,
11594,치킨,전지우유,아이스크림,롤빵,설탕,소다,냅킨,,
11596,과일,커피,냅킨,그릇,,,,,
11597,커피,초콜릿,,,,,,,
11598,열대과일,딸기,요거트,소다,와인,,,,
11600,돼지고기,양파,병맥주,,,,,,
