항목1,항목2,항목3,항목4,항목5,항목6,항목7,항목8,항목9
감귤,전지우유,버터,디저트,우유,,쇼핑백,,
우유,식초,와플,초콜릿,,,,,
우유,계란,식빵,커피,소다,캔맥주,소주,신문,
감귤,버터,우유,마가린,병맥주,,,,
햄,전지우유,치즈,식빵,생수,소다,야채 주스,팝콘,
햄,치킨,감귤,과일,허브,버터,냅킨,,
열대과일,과일,크림 치즈,소다,병맥주,,,,
소시지,야채,롤빵,생수,백포도주,,,,
요거트,치즈,냉동 야채,냉동 식품,절인 야채,커피,커피,,
소고기,전지우유,요거트,치즈,치즈,계란,마가린,고양이 사료,
전지우유,소다,음료수,쇼핑백,,,,,
감귤,열대과일,과일,포도,야채,전지우유,디저트,,
감귤,버터,소다,병맥주,캔맥주,와플,초콜릿,,
소고기,포장 채소,크림 치즈,마가린,생수,간식,,,
야채,사워 크림,소금,야채 주스,간식,,,,
열대과일,전지우유,사워 크림,병맥주,,,,,
식빵,기름,설탕,소다,병맥주,,,,
포도,식빵,병맥주,백포도주,,,,,
햄,열대과일,크림 치즈,치즈,식빵,사탕,,,
아이스크림,음료수,캔맥주,냅킨,쇼핑백,,,,
열대과일,생수,병맥주,냅킨,,,,,
디저트,요거트,우유,소다,캔맥주,전구,,,
소시지,감귤,과일,요거트,음료수,치즈,설탕,생수,소다
소고기,감귤,야채,사워 크림,간식,,,,
소시지,요거트,패스트리,마가린,소다,병맥주,,,
소고기,감귤,양파,허브,전지우유,요거트,사워 크림,치즈,
과일,버터,요거트,사워 크림,식빵,패스트리,야채 주스,세정제,
감귤,포도,생수,와플,,,,,
돼지고기,냉동 식품,생선,쇼핑백,,,,,
햄,포도,치즈,아이스크림,냉동 감자,식빵,기름,,
포도,치즈,파스타,커피,생수,소다,캔맥주,브랜디,백포도주
감귤,생수,와인,사진 필름,,,,,
야채,치즈,소다,병맥주,,,,,
햄,전지우유,우유,야채 주스,,,,,
열대과일,소다,사탕,쇼핑백,,,,,
소시지,파스타,기름,마가린,커피,시럽,캔맥주,냅킨,
소시지,소고기,식빵,생선 통조림,생수,캔맥주,소주,쇼핑백,
돼지고기,열대과일,디저트,요거트,밀가루,쌀,커피,,
소시지,감귤,과일,마요네즈,식빵,쇼핑백,,,
포도,패스트리,간식,전구,쇼핑백,,,,
요거트,치즈,케첩,생수,남성 화장품,,,,
생수,소다,껌,초콜릿,사탕,,,,
소고기,버터우유,요거트,사워 크림,크림 치즈,식빵,야채 주스,병맥주,
소고기,야채,버터,요거트,롤빵,밀가루,,,
딸기,야채,사워 크림,병맥주,,,,,
치킨,돼지고기,소고기,전지우유,사워 크림,,,,
소시지,감귤,전지우유,크림 치즈,치즈,냉동 야채,롤빵,패스트리,야채 주스
감귤,야채,전지우유,요거트,사워 크림,치즈,크림 치즈,,
감귤,열대과일,포도,전지우유,식빵,패스트리,,,
열대과일,사워 크림,우유,냉동 야채,기름,마가린,야채 주스,주방 수건,
햄,롤빵,병맥주,껌,,,,,
소시지,전지우유,버터우유,사워 크림,,,,,
돼지고기,전지우유,마가린,소다,캔맥주,신문,,,
감귤,요거트,사워 크림,소다,,,,,
열대과일,전지우유,계란,패스트리,,,,,
돼지고기,전지우유,설탕,소다,초콜릿,,,,
치킨,돼지고기,과일,전지우유,생선,롤빵,마가린,,
야채,전지우유,요거트,롤빵,화초,,,,
감귤,케이크,아기 화장품,쇼핑백,,,,,
소고기,열대과일,전지우유,아이스크림,고양이 사료,,,,
돼지고기,야채,설탕,베이킹 파우더,고양이 사료,간식,와플,,
농축 우유,생수,음료수,병맥주,욕실 청소용품,,,,
치킨,병맥주,와인,신문,,,,,
소시지,소고기,버터,계란,고양이 사료,,,,
치킨,돼지고기,포도,계란,롤빵,패스트리,소다,,
전지우유,사워 크림,마가린,시리얼,소다,간식,,,
돼지고기,소고기,감귤,딸기,야채,전지우유,요거트,크림 치즈,
야채,전지우유,요거트,냉동 감자,,,,,
롤빵,생수,야채 주스,캔맥주,위스키,쇼핑백,,,
소시지,소고기,돼지고기,전지우유,버터,사워 크림,냉동 야채,냉동 디저트,빵
소시지,마요네즈,롤빵,캔맥주,쇼핑백,,,,
열대과일,치즈,계란,지퍼백,,,,,
치킨,열대과일,과일,야채,허브,디저트,요거트,사워 크림,
열대과일,과일,전지우유,냅킨,그릇,,,,
감귤,포도,롤빵,패스트리,커피,소다,,,
치킨,딸기,마요네즈,냉동 야채,간식,신문,,,
소시지,열대과일,전지우유,요거트,치즈,패스트리,마가린,인스턴트 식품,커피
소시지,야채,전지우유,버터,사워 크림,치즈,설탕,베이킹 파우더,
감귤,열대과일,전지우유,커피,,,,,
돼지고기,야채,전지우유,사워 크림,롤빵,식빵,야채 통조림,소다,
소고기,계란,롤빵,밀가루,사탕,,,,
디저트,우유,생수,소다,캔맥주,껌,쇼핑백,,
돼지고기,감귤,계란,마가린,캔맥주,,,,
사워 크림,밀가루,베이킹 파우더,신문,,,,,
돼지고기,야채,양파,전지우유,냅킨,쇼핑백,,,
돼지고기,감귤,야채,전지우유,버터,소다,그릇,신문,
돼지고기,열대과일,야채,양파,전지우유,버터,사워 크림,치즈,
야채,롤빵,마가린,소다,병맥주,,,,
사워 크림,음료수,야채 주스,초콜릿,,,,,
돼지고기,소고기,전지우유,롤빵,패스트리,,,,
감귤,전지우유,요거트,치즈,치즈,롤빵,밀가루,고양이 사료,
감귤,요거트,식빵,파스타,,,,,
소다,초콜릿,초콜릿,신문,쇼핑백,,,,
치킨,사워 크림,커피,쇼핑백,,,,,
소시지,소고기,치킨,야채,전지우유,소금,간식,,
소고기,딸기,식빵,쇼핑백,,,,,
햄,전지우유,치즈,냉동 식품,롤빵,쌀,수프,베이킹 파우더,야채 통조림
치킨,돼지고기,야채,양파,포장 채소,버터,치즈,소금,생수
허브,전지우유,버터,식빵,마가린,음료수,쇼핑백,,
열대과일,과일,전지우유,껌,초콜릿,,,,
양파,롤빵,소금,초콜릿,쇼핑백,,,,
감귤,치즈,롤빵,패스트리,캔맥주,신문,,,
과일,야채,전지우유,껌,주방 수건,,,,
소고기,소고기,열대과일,과일,딸기,전지우유,식빵,,
전지우유,생선 통조림,소다,병맥주,양초,,,,
전지우유,요거트,냉동 식품,설탕,커피,생수,야채 주스,병맥주,간식
감귤,과일,포도,디저트,버터우유,요거트,계란,밀가루,
전지우유,음료수,패스트리,소다,,,,,
야채,전지우유,버터,요거트,사워 크림,치즈,크림 치즈,계란,빵
딸기,버터우유,요거트,소다,신문,,,,
소시지,과일,야채,병맥주,연마제,전구,,,
치킨,야채,식초,쇼핑백,,,,,
소시지,치즈,롤빵,야채 통조림,강아지 사료,,,,
야채,양파,전지우유,생수,그릇,,,,
소시지,햄,소고기,치킨,열대과일,전지우유,버터,요거트,
햄,열대과일,포도,양파,요거트,사워 크림,치즈,치즈,
감귤,냉동 식품,캔맥주,와인,간식,,,,
지퍼백,기름,머스타드,초콜릿,,,,,
치킨,전지우유,계란,패스트리,캔맥주,,,,
햄,디저트,냉동 식품,냉동 디저트,식빵,소다,,,
전지우유,버터우유,소다,껌,쇼핑백,,,,
햄,허브,요거트,크림 치즈,전구,,,,
치킨,열대과일,사탕,쇼핑백,,,,,
소시지,소고기,포도,요거트,치즈,계란,롤빵,마가린,
요거트,패스트리,소다,쇼핑백,,,,,
감귤,전지우유,치즈,캔맥주,,,,,
야채,버터,냉동 야채,간식,,,,,
열대과일,포장 채소,전지우유,냉동 식품,식빵,커피,소다,여성용 위생용품,
요거트,롤빵,패스트리,소다,,,,,
감귤,과일,포도,딸기,치즈,롤빵,기름,쇼핑백,
소고기,야채,전지우유,버터우유,요거트,음료수,크림 치즈,소다,
감귤,양파,전지우유,크림 치즈,계란,설탕,생수,병맥주,
소시지,계란,커피,소다,,,,,
강아지 사료,소다,야채 주스,병맥주,,,,,
포장 채소,전지우유,패스트리,생수,소다,음료수,껌,,
소고기,열대과일,치즈,롤빵,와플,초콜릿,초콜릿,헤어 스프레이,
소시지,치즈,롤빵,커피,소다,쇼핑백,,,
전지우유,생수,소다,캔맥주,,,,,
음료수,초콜릿,사탕,쇼핑백,,,,,
돼지고기,소고기,요거트,쇼핑백,,,,,
포도,버터,계란,소금,설탕,베이킹 파우더,,,
소시지,햄,감귤,포도,딸기,버터우유,냉동 식품,계란,고양이 사료
돼지고기,우유,롤빵,마가린,,,,,
과일,야채,전지우유,롤빵,패스트리,커피,초콜릿,,
아이스크림,소다,병맥주,초콜릿,,,,,
소시지,전지우유,식빵,소다,,,,,
열대과일,과일,포도,아이스크림,냉동 감자,롤빵,패스트리,소다,음료수
포도,야채,전지우유,버터,사워 크림,농축 우유,기름,생수,
열대과일,과일,포도,전지우유,사워 크림,냉동 야채,베이킹 파우더,,
소고기,야채,소다,병맥주,,,,,
야채,전지우유,버터,계란,밀가루,기름,설탕,베이킹 파우더,백포도주
돼지고기,식빵,생수,야채 주스,,,,,
허브,식초,캔맥주,신문,,,,,
패스트리,설탕,병맥주,쇼핑백,,,,,
크림 치즈,파스타,잼,커피,소다,초콜릿,,,
소시지,전지우유,식빵,패스트리,,,,,
치즈,롤빵,소다,쇼핑백,,,,,
감귤,열대과일,딸기,요거트,크림 치즈,식빵,소고기,,
요거트,음료수,롤빵,야채 주스,화초,,,,
감귤,전지우유,버터,냉동 야채,롤빵,식빵,야채 주스,청소기,
감귤,전지우유,버터우유,사워 크림,,,,,
전지우유,수프,생수,병맥주,,,,,
커피,소다,병맥주,소주,욕실 청소용품,,,,
감귤,열대과일,전지우유,롤빵,생수,신문,,,
열대과일,야채,전지우유,요거트,사워 크림,계란,롤빵,마가린,생수
소시지,농축 우유,롤빵,커피,,,,,
롤빵,소다,와플,쇼핑백,,,,,
전지우유,음료수,생수,신문,,,,,
버터우유,우유,식빵,생수,,,,,
치킨,전지우유,우유,롤빵,신문,,,,
소고기,전지우유,냉동 감자,마가린,소다,세정제,,,
버터,요거트,롤빵,잼,소다,,,,
소시지,생선,식빵,쇼핑백,,,,,
햄,감귤,열대과일,포도,야채,양파,롤빵,식빵,
양파,버터,기름,냅킨,신문,,,,
전지우유,아이스크림,인스턴트 식품,생선 통조림,신문,,,,
요거트,냉동 야채,생수,피부관리용품,신문,,,,
감귤,전지우유,계란,과일 통조림,강아지 사료,음료수,세정제,,
소시지,버터우유,롤빵,소다,,,,,
버터,패스트리,냅킨,그릇,,,,,
소고기,양파,껌,그릇,,,,,
소고기,과일,포장 채소,전지우유,패스트리,마가린,,,
치킨,전지우유,롤빵,밀가루,소금,식초,설탕,,
과일,요거트,치즈,,,,,,
야채,전지우유,롤빵,생수,그릇,신문,,,
사워 크림,농축 우유,소금,,,,,,
패스트리,쇼핑백,,,,,,,
소시지,과일,사워 크림,세정제,,,,,
치즈,와인,신문,,,,,,
소고기,전지우유,사워 크림,기름,절인 야채,냅킨,,,
소시지,야채,전지우유,디저트,과일 통조림,소다,과자,와플,
과일,야채,전지우유,아이스크림,병맥주,세정제,,,
감귤,열대과일,커피,,,,,,
요거트,사워 크림,소다,병맥주,간식,,,,
소고기,요거트,음료수,롤빵,밀가루,마가린,고양이 사료,생수,
요거트,마가린,설탕,생수,병맥주,와인,,,
열대과일,생수,껌,,,,,,
감귤,허브,버터,계란,기름,생수,병맥주,,
전지우유,요거트,사워 크림,치즈,사탕,,,,
감귤,열대과일,야채,요거트,마가린,설탕,생수,냅킨,
소시지,크림,크림 치즈,캔맥주,,,,,
허브,기름,강아지 사료,,,,,,
소시지,생선,우유,,,,,,
요거트,초콜릿,,,,,,,
머스타드,캔맥주,,,,,,,
치즈,롤빵,패스트리,절인 야채,야채 주스,,,,
돼지고기,생선 통조림,고양이 사료,,,,,,
요거트,쇼핑백,,,,,,,
냉동 야채,커피,,,,,,,
롤빵,캔맥주,쇼핑백,,,,,,
패스트리,소다,,,,,,,
돼지고기,소고기,감귤,야채,전지우유,롤빵,밀가루,파스타,
생수,사진 필름,,,,,,,
소고기,감귤,야채,버터,요거트,사워 크림,냉동 식품,파스타,기름
요거트,생수,남성 화장품,,,,,,
치킨,전지우유,아이스크림,롤빵,설탕,소다,냅킨,,
과일,커피,냅킨,그릇,,,,,
커피,초콜릿,,,,,,,
열대과일,딸기,요거트,소다,와인,,,,
돼지고기,양파,병맥주,,,,,,
요거트,농축 우유,롤빵,절인 야채,생수,브랜디,,,
냅킨,그릇,,,,,,,
롤빵,생선 통조림,,,,,,,
치킨,감귤,양파,생수,,,,,
돼지고기,양파,롤빵,마가린,야채 통조림,소다,간식,,
햄,열대과일,과일,전지우유,치즈,냉동 야채,식빵,소다,
전지우유,롤빵,,,,,,,
소다,병맥주,,,,,,,
롤빵,마가린,,,,,,,
열대과일,치즈,롤빵,초콜릿,,,,,
열대과일,과일,식빵,,,,,,
햄,열대과일,요거트,우유,식빵,패스트리,,,
소고기,롤빵,초콜릿,,,,,,
전지우유,커피,여성용 위생용품,쇼핑백,,,,,
소다,캔맥주,,,,,,,
롤빵,캔맥주,,,,,,,
디저트,우유,롤빵,패스트리,캔맥주,,,,
소시지,치즈,머스타드,야채 주스,,,,,
돼지고기,양파,버터우유,,,,,,
소시지,음료수,치즈,롤빵,쇼핑백,,,,
롤빵,소다,캔맥주,와플,쇼핑백,,,,
음료수,초콜릿,,,,,,,
소다,야채 주스,,,,,,,
요거트,우유,계란,롤빵,,,,,
소시지,식빵,병맥주,,,,,,
열대과일,과일,소다,병맥주,팝콘,,,,
감귤,전지우유,,,,,,,
전지우유,롤빵,,,,,,,
열대과일,신문,,,,,,,
롤빵,마가린,신문,,,,,,
전지우유,디저트,,,,,,,
포도,야채,파스타,기름,마가린,커피,생수,,
요거트,롤빵,,,,,,,
야채,전지우유,요거트,롤빵,껌,양초,,,
열대과일,요거트,치즈,소다,,,,,
소시지,신문,쇼핑백,,,,,,
전지우유,롤빵,,,,,,,
전지우유,캔맥주,,,,,,,
전지우유,냉동 야채,,,,,,,
햄,과일,허브,버터,롤빵,식빵,기름,생선 통조림,
전지우유,요거트,식빵,신문,,,,,
소고기,감귤,과일,요거트,롤빵,밀가루,마가린,수프,생수
계란,롤빵,소다,,,,,,
소다,와플,,,,,,,
전지우유,요거트,음료수,머스타드,생수,신문,,,
햄,과일,전지우유,롤빵,꿀,신문,,,
버터우유,커피,,,,,,,
돼지고기,양파,쇼핑백,,,,,,
햄,전지우유,기름,커피,,,,,
크림 치즈,소다,,,,,,,
열대과일,딸기,야채,요거트,롤빵,쇼핑백,,,
감귤,전지우유,마가린,병맥주,신문,,,,
열대과일,버터,버터우유,식빵,,,,,
소시지,열대과일,전지우유,치즈,냉동 야채,계란,롤빵,식빵,쌀
소시지,감귤,열대과일,전지우유,생수,세정제,신문,,
소시지,롤빵,소다,,,,,,
치즈,롤빵,마가린,소다,쇼핑백,,,,
열대과일,딸기,절인 야채,소다,,,,,
과일,전지우유,버터우유,크림 치즈,계란,롤빵,식빵,,
감귤,열대과일,포도,디저트,크림 치즈,롤빵,생수,야채 주스,
