고객ID,성별,연령,서비스기간,단선횟수,주간통화횟수,주간통화시간_분,야간통화횟수,야간통화시간_분,주말통화횟수,주말통화시간_분,국제통화시간_분,국내통화횟수,국내통화시간_분,총통화시간_분,통화량구분,총통화요금,부과요금,통화품질불만,이탈여부
C105140,여,27,50.433333,8,178,472.199999,12,303.600001,28,46,250.138995,218,821.8,1071.938995,중,98.876157,203.876157,F,유지
C105150,여,37,14,2,223,587.400001,119,235.200001,10,18.599999,275.427217,352,841.200001,1116.627218,중,111.530876,216.530876,F,이탈
C105160,남,44,24.6,1,317,606.599999,79,269.100001,13,24,255.954194,409,899.7,1155.654194,중,111.977774,216.977774,F,유지
C105190,남,33,19.466667,1,315,526.199999,120,197.399999,3,26.5,181.560963,438,750.099998,931.660961,중,72.502901,177.502901,F,유지
C105200,여,35,24,0,189,501.599999,90,172.5,15,58.799999,195.333637,294,732.899998,928.233635,중,74.340826,179.340826,F,이탈
C105220,남,34,13.866667,3,203,537.600001,82,331.8,9,20.399999,193.787314,294,889.8,1083.587314,중,90.135351,195.135351,F,유지
C105240,여,33,19.866667,1,224,594,25,126,29,47.4,188.492053,278,767.4,955.892053,중,77.875083,182.875083,F,유지
C105250,남,46,12,0,210,557.399999,92,145.8,41,72.600001,245.700621,343,775.8,1021.500621,중,95.131138,200.131138,F,이탈
C105270,여,54,47.566667,1,370,620.399999,170,325.799999,19,51.600001,267.714123,559,997.799999,1265.514122,중,124.938163,229.938163,F,유지
C105280,남,31,57.733333,0,273,729.599999,70,129,46,71.400001,294.143036,389,930,1224.143036,중,130.631943,235.631943,F,이탈
C105300,남,44,23.366667,0,133,355.800001,100,247.199999,2,8.4,193.978951,235,611.4,805.378951,중,59.4271,164.4271,F,이탈
C105320,남,27,44.4,0,278,535.8,150,304.500001,11,36.6,213.012276,439,876.900001,1089.912277,중,94.667718,199.667718,F,유지
C105330,여,42,37.133333,2,233,625.2,224,362.7,1,4.8,252.079462,458,992.7,1244.779462,중,119.990987,224.990987,F,유지
C105370,남,30,48.933333,2,305,819.6,3,26.7,0,0,210.415094,308,846.3,1056.715094,중,99.292474,204.292474,F,이탈
C105390,여,51,36.166667,7,197,535.199999,53,136.500001,6,73.800001,238.942693,256,745.500001,984.442694,중,89.403361,194.403361,F,유지
C105400,남,61,50.7,1,238,644.4,109,169.799999,3,54,271.361577,350,868.199999,1139.561576,중,114.724955,219.724955,F,이탈
C105420,남,27,18.866667,0,301,581.4,30,110.100001,3,5.4,207.805176,334,696.900001,904.705177,중,75.270591,180.270591,F,유지
C105450,여,35,26.933333,9,258,706.2,20,37.500001,16,84,212.397828,294,827.700001,1040.097829,중,94.531887,199.531887,F,유지
C105460,남,39,19.6,2,198,541.8,10,108,4,61.8,202.148303,212,711.6,913.748303,중,74.721523,179.721523,F,이탈
C105500,여,52,16.933333,2,190,522.600001,2,81,28,52.2,211.004807,220,655.800001,866.804808,중,70.538085,175.538085,F,이탈
C105530,남,51,49.433333,3,289,486.600001,137,384.9,1,31.8,251.674921,427,903.300001,1154.974922,중,107.005989,212.005989,F,유지
C105540,남,26,25.166667,9,190,367.8,42,318.6,6,17.5,229.288331,238,703.9,933.188331,중,79.410455,184.410455,F,유지
C105550,여,34,10.1,0,283,783.600001,48,117,10,17.399999,244.241735,341,918,1162.241735,중,116.316834,221.316834,F,유지
C105570,여,65,28.933333,6,159,445.8,16,183.600001,19,55.2,193.816368,194,684.600001,878.416369,중,67.88392,172.88392,F,유지
C105610,남,29,45.766667,1,365,549.6,58,237,46,92.4,280.56213,469,879,1159.56213,중,115.563281,220.563281,F,유지
C105620,여,43,11.233333,2,137,385.2,9,150.900001,24,145.8,192.324019,170,681.900001,874.22402,중,66.418673,171.418673,F,유지
C105640,남,46,36.5,0,226,440.4,101,295.800001,25,48,218.499293,352,784.200001,1002.699294,중,85.104302,190.104302,F,이탈
C105650,여,30,25.133333,0,214,601.8,47,183.6,8,47.4,229.574953,269,832.8,1062.374953,중,97.335137,202.335137,F,유지
C105670,남,42,53.933333,0,349,550.8,171,297.9,9,89.400001,233.632101,529,938.100001,1171.732102,중,106.845977,211.845977,F,유지
C105710,여,70,17.933333,8,194,547.200001,77,301.500001,6,12,224.280854,277,860.700002,1084.980856,중,96.893561,201.893561,F,이탈
C105720,여,28,33.533333,2,315,615,37,84,21,47.4,225.88059,373,746.4,972.28059,중,87.146878,192.146878,F,이탈
C105750,남,38,42.9,1,384,749.399999,32,51.299999,4,77.5,221.871579,420,878.199998,1100.071577,중,104.211291,209.211291,F,유지
C105760,여,38,27,0,265,751.199999,35,116.7,1,16,262.301986,301,883.899999,1146.201985,중,117.013402,222.013402,F,유지
C105790,남,37,36.066667,1,175,500.399999,15,75.9,4,99,201.562011,194,675.299999,876.86201,중,69.813363,174.813363,F,유지
C105810,여,26,30.866667,1,322,632.399999,7,29.100001,55,90.600001,222.757895,384,752.100001,974.857896,중,87.221631,192.221631,F,유지
C105820,남,27,39.166667,1,196,560.399999,29,204.9,0,0,200.934138,225,765.299999,966.234137,중,80.64953,185.64953,F,유지
C105830,여,30,11.666667,0,304,595.8,135,288.900001,8,29.400001,216.77368,447,914.100002,1130.873682,중,101.209786,206.209786,F,유지
C105850,여,33,24.333333,1,125,357,54,152.4,11,38.4,180.437286,190,547.8,728.237286,중,54.131186,159.131186,F,유지
C105860,여,34,54.333333,6,186,294,90,148.2,20,130.2,182.377887,296,572.4,754.777887,중,54.713366,159.713366,F,유지
C105890,남,31,37.566667,1,209,599.4,46,227.100001,56,129.5,227.836505,311,956.000001,1183.836506,중,108.471705,213.471705,F,이탈
C105920,남,33,28.366667,1,342,579,142,263.1,13,80.399999,247.845264,497,922.499999,1170.345263,중,110.720043,215.720043,F,유지
C105930,남,31,51.3,11,442,700.2,72,124.5,35,63.500001,185.263171,549,888.200001,1073.463172,중,92.708794,197.708794,F,유지
C105940,여,27,27.966667,4,275,466.2,76,168.900001,5,33.599999,219.276948,356,668.7,887.976948,중,74.007667,179.007667,F,유지
C105950,남,29,35.9,0,330,648,33,68.1,1,11.5,234.531592,364,727.6,962.131592,중,88.103524,193.103524,F,유지
C105960,남,32,15.066667,0,379,580.200001,67,150.3,8,58.200001,183.413911,454,788.700002,972.113913,중,78.340718,183.340718,F,유지
C106020,여,29,15.166667,4,416,706.799999,49,129.299999,59,99,238.338156,524,935.099998,1173.438154,중,113.585147,218.585147,F,유지
C106060,여,33,30.8,6,309,610.200001,13,37.200001,8,15.600001,212.667057,330,663.000003,875.66706,중,72.748398,177.748398,F,이탈
C106070,여,43,36.366667,0,267,528,69,361.200001,37,73.799999,191.94256,373,963,1154.94256,중,95.635572,200.635572,F,유지
C106080,남,40,37.166667,11,240,476.399999,99,296.7,28,146.399999,285.284648,367,919.499998,1204.784646,중,118.113934,223.113934,F,유지
C106120,남,33,15.933333,10,309,617.4,96,362.1,6,18,269.512221,411,997.5,1267.012221,중,125.331824,230.331824,F,유지
C106170,남,27,22.866667,2,341,582,2,20.4,0,0,185.207592,343,602.4,787.607592,중,55.91415,160.91415,F,유지
C106180,남,44,13.766667,3,272,544.2,145,234.9,2,11.5,205.950733,419,790.6,996.550733,중,84.434942,189.434942,F,유지
C106350,남,36,54.866667,2,522,801.599999,36,83.099999,0,0,283.728836,558,884.699998,1168.428834,중,125.149459,230.149459,F,유지
C106370,남,27,13.4,0,310,627,128,201.3,48,87.500001,246.072864,486,915.800001,1161.872865,중,111.233021,216.233021,F,유지
C107330,여,38,43.7,8,157,658.2,18,279,8,22.5,250.416767,183,959.7,1210.116767,중,117.779671,222.779671,F,이탈
C107340,여,29,36.5,1,96,735.600001,65,177.9,2,27.6,216.71242,163,941.100001,1157.812421,중,108.730416,213.730416,F,이탈
C107350,남,36,17.066667,10,174,729,1,42.6,52,88.2,276.451941,227,859.8,1136.251941,중,117.953286,222.953286,F,이탈
C107360,여,52,45.233333,1,62,481.800001,49,111.600001,18,62,215.95197,129,655.400002,871.351972,중,71.628176,176.628176,F,유지
C107390,남,32,45.666667,7,144,603.599999,137,224.7,2,30,232.334295,283,858.299999,1090.634294,중,100.780252,205.780252,F,유지
C107410,남,40,17.633333,2,137,576.600001,16,80.399999,26,68,235.219543,179,725,960.219543,중,86.757242,191.757242,F,이탈
C107420,남,33,21.933333,0,96,749.4,21,39,34,53.4,189.386887,151,841.8,1031.186887,중,90.431953,195.431953,F,유지
C107430,여,32,52.966667,1,139,475.2,93,290.1,3,6.6,246.611061,235,771.9,1018.511061,중,93.160891,198.160891,F,유지
C107440,여,31,44.633333,1,119,502.2,205,392.1,4,16.8,202.656625,328,911.1,1113.756625,중,93.499877,198.499877,F,유지
C107470,여,28,28.8,1,52,648.6,89,159.3,12,21,233.600214,153,828.9,1062.500214,중,99.436096,204.436096,F,유지
C107490,남,36,18.866667,11,122,420.6,133,312,8,14.4,185.828346,263,747,932.828346,중,71.375371,176.375371,F,유지
C107510,여,39,17.766667,0,115,402.599999,66,110.099998,10,59.400001,181.590719,191,572.099998,753.690717,중,54.477216,159.477216,F,유지
C107540,남,41,48.633333,0,165,699,22,94.8,26,105.6,200.126449,213,899.4,1099.526449,중,98.276847,203.276847,F,이탈
C107550,여,33,49.9,1,117,493.800001,24,326.099999,34,62.5,269.224233,175,882.4,1151.624233,중,110.690661,215.690661,F,이탈
C107560,남,40,49.033333,0,98,795,9,87.300001,1,9,210.154767,108,891.300001,1101.454768,중,103.594096,208.594096,F,유지
C107570,여,50,49.966667,0,136,466.199999,37,134.699999,13,31.800001,186.546383,186,632.699999,819.246382,중,60.008388,165.008388,F,유지
C107600,남,44,51.866667,2,46,379.199999,54,298.800001,33,63,241.754121,133,741,982.754121,중,86.791783,191.791783,F,이탈
C107610,여,27,30,2,68,558,187,324.9,13,29.4,222.245435,268,912.3,1134.545435,중,101.390176,206.390176,F,이탈
C107620,남,29,12.166667,0,79,652.200001,75,168.599999,9,36,256.546582,163,856.8,1113.346582,중,109.351706,214.351706,F,유지
C107680,여,28,50.5,1,156,667.199999,39,224.099999,27,48,302.467386,222,939.299998,1241.767384,중,131.806244,236.806244,F,유지
C107690,여,32,45.2,2,67,569.4,98,366.9,1,3,235.586893,166,939.3,1174.886893,중,108.209302,213.209302,F,이탈
C107700,남,28,38.966667,1,125,540,62,255.3,23,90,282.582183,210,885.3,1167.882183,중,116.441891,221.441891,F,유지
C107740,남,27,47.633333,1,84,723.599999,5,113.7,28,96,244.496043,117,933.299999,1177.796042,중,115.855009,220.855009,F,이탈
C107760,여,32,52.633333,0,83,720.600001,4,46.2,10,31.8,195.061712,97,798.600001,993.661713,중,86.368769,191.368769,F,이탈
C107770,여,27,54.833333,2,135,467.400001,86,441.599999,6,11.400001,250.580736,227,920.400001,1170.980737,중,107.46486,212.46486,F,유지
C107780,여,39,52.333333,2,73,642.6,12,192.6,14,28.199999,192.055184,99,863.399999,1055.455183,중,90.390544,195.390544,F,유지
C107790,남,55,31.2,2,125,436.2,3,191.7,41,76.8,212.42381,169,704.7,917.12381,중,75.442935,180.442935,F,이탈
C107840,여,45,41.366667,4,66,582.6,42,133.5,28,82.8,230.351722,136,798.9,1029.251722,중,93.555353,198.555353,F,유지
C107870,남,28,28.4,2,68,609.6,116,303.6,20,35.4,279.935565,204,948.6,1228.535565,중,123.812795,228.812795,F,유지
C107890,남,34,32.1,2,164,514.2,135,270,19,100.2,184.283329,318,884.4,1068.683329,중,86.040331,191.040331,F,유지
C107900,여,41,44.133333,7,60,550.200001,26,300.899999,42,116.399999,185.161192,128,967.499999,1152.661191,중,94.822427,199.822427,F,이탈
C107920,여,47,30.566667,2,72,661.799999,105,238.200001,6,42,236.15949,183,942,1178.15949,중,111.974981,216.974981,F,유지
C107950,남,41,48.266667,2,159,553.8,31,85.500001,0,0,188.973859,190,639.300001,828.27386,중,62.06156,167.06156,F,이탈
C107980,남,35,54.666667,1,134,585.6,76,225.3,25,52.799999,251.932226,235,863.699999,1115.632225,중,106.643876,211.643876,F,유지
C108000,남,59,41,0,143,627,23,139.8,56,91.8,281.046529,222,858.6,1139.646529,중,116.128445,221.128445,F,유지
C108010,여,33,37.7,5,53,510,98,271.8,2,32.5,223.203986,153,814.3,1037.503986,중,91.097908,196.097908,F,유지
C108020,여,29,56.3,5,137,603,21,65.700001,0,0,191.155607,158,668.700001,859.855608,중,66.976702,171.976702,F,유지
C108040,남,42,56,2,224,709.800001,46,208.5,7,19,251.491145,277,937.300001,1188.791146,중,117.85545,222.85545,F,유지
C108050,남,46,39.766667,2,194,692.4,129,203.699999,30,66.5,190.496108,353,962.599999,1153.096107,중,101.360719,206.360719,F,유지
C108060,남,42,21.7,0,226,789,1,34.2,21,43.500001,208.989784,248,866.700001,1075.689785,중,100.310959,205.310959,F,유지
C108080,여,42,54.033333,1,145,436.800001,109,318,2,32,244.691266,256,786.800001,1031.491267,중,93.117771,198.117771,F,이탈
C108100,여,39,25.3,2,58,582.600001,248,399.9,8,15,261.716578,314,997.500001,1259.216579,중,121.606365,226.606365,F,유지
C108110,여,28,55.4,8,169,751.8,9,29.100001,44,123.599999,221.574812,222,904.5,1126.074812,중,107.006797,212.006797,F,유지
C108150,남,64,39.666667,2,148,444.6,18,290.4,5,13.5,188.990826,171,748.5,937.490826,중,72.942969,177.942969,F,유지
C108160,여,46,55.833333,1,72,758.400001,5,102,32,54,210.877379,109,914.400001,1125.27738,중,105.059434,210.059434,F,유지
C108180,여,30,57.5,1,69,724.8,9,18.9,0,0,247.545589,78,743.7,991.245589,중,95.453485,200.453485,F,유지
C108200,남,27,25.233333,1,34,358.200001,113,176.099999,35,61,193.685153,182,595.3,788.985153,중,58.105546,163.105546,F,유지
C108210,여,34,21.633333,1,156,469.2,75,207.900002,38,126,235.565879,269,803.100002,1038.665881,중,92.690599,197.690599,F,유지
C108220,여,28,38.333333,2,71,768,30,113.100001,23,45.5,268.786392,124,926.600001,1195.386393,중,124.035721,229.035721,F,이탈
C108230,남,50,26.466667,0,163,574.2,19,246,1,4,181.89951,183,824.2,1006.09951,중,81.399319,186.399319,F,이탈
C108270,남,42,57.533333,2,111,504,69,242.1,27,43,255.539368,207,789.1,1044.639368,중,98.194671,203.194671,F,유지
C108280,남,56,53.466667,2,54,593.4,151,242.4,25,57,221.2083,230,892.8,1114.0083,중,100.463458,205.463458,F,유지
C108300,남,37,38.7,0,48,531.599999,18,401.400001,0,0,306.498997,66,933,1239.498997,중,127.573204,232.573204,F,유지
C108310,남,61,30.533333,10,42,469.8,128,196.5,59,111,240.868353,229,777.3,1018.168353,중,91.841515,196.841515,F,유지
C108320,남,29,39.6,0,122,557.400001,99,187.2,19,39,236.230757,240,783.600001,1019.830758,중,93.109288,198.109288,F,유지
C108360,여,34,48.766667,1,59,663.600001,5,21.600001,21,73.8,244.522746,85,759.000002,1003.522748,중,95.208326,200.208326,F,이탈
C108390,여,52,17.9,1,50,575.400001,22,115.199999,8,37.199999,195.579786,80,727.799999,923.379785,중,75.167827,180.167827,F,유지
C108400,여,32,44.566667,1,45,529.2,135,276.899999,51,90,192.822167,231,896.099999,1088.922166,중,90.138105,195.138105,F,유지
C108430,남,33,34.633333,2,35,414,79,210,45,108,224.50085,159,732,956.50085,중,81.415829,186.415829,F,유지
C108440,여,29,32.266667,1,108,495.600001,13,342,3,14.4,260.180733,124,852.000001,1112.180734,중,105.312812,210.312812,F,유지
C108450,여,60,18.433333,0,64,753,22,155.7,12,28.200001,263.924024,98,936.900001,1200.824025,중,123.099345,228.099345,F,유지
C108490,남,40,30.1,0,33,564.6,34,100.800001,2,45,210.550229,69,710.400001,920.95023,중,77.459258,182.459258,F,유지
C108510,여,27,57.4,2,152,460.800001,171,372,1,33,205.398288,324,865.800001,1071.198289,중,89.056015,194.056015,F,이탈
C108530,여,52,16.966667,3,110,513,49,144,19,38.400001,202.925126,178,695.400001,898.325127,중,72.685243,177.685243,F,이탈
C108550,남,43,43.433333,2,136,527.4,42,118.2,11,85.2,240.420644,189,730.8,971.220644,중,88.105701,193.105701,F,이탈
C108560,남,43,39.866667,11,44,553.2,128,286.5,17,76,208.004776,189,915.7,1123.704776,중,97.258753,202.258753,F,유지
C108570,남,42,48.2,10,111,519,18,159.900001,19,50,235.200217,148,728.900001,964.100218,중,86.183155,191.183155,F,유지
C108580,여,38,34.866667,2,56,723.6,10,47.4,31,47.4,207.043936,97,818.4,1025.443936,중,92.343327,197.343327,F,유지
C108650,여,53,41.566667,1,93,438.600001,15,318,17,111,275.77908,125,867.600001,1143.379081,중,109.641774,214.641774,F,유지
C108660,남,42,32.6,2,43,573.6,106,315,6,25,238.654615,155,913.6,1152.254615,중,106.965631,211.965631,F,유지
C108680,남,39,41.666667,9,53,720,7,21.899999,17,39,215.149687,77,780.899999,996.049686,중,90.269122,195.269122,F,이탈
C108690,남,45,44.033333,0,155,555.6,67,393.900001,19,32,286.866568,241,981.500001,1268.366569,중,126.73063,231.73063,F,유지
C108700,여,31,49.166667,1,47,637.800001,42,79.5,39,117.6,248.341153,128,834.900001,1083.241154,중,104.191917,209.191917,F,유지
